experiment_group,suite,method,episodes,observation_ack_packets_per_episode,screening_packets_upper_per_episode,cbba_packets_per_episode,total_packets_upper_per_episode,observation_ack_bytes_per_episode,screening_bytes_upper_per_episode,cbba_bytes_per_episode,total_bytes_upper_per_episode,accounting_convention
core_comparison,core_comparison,B1m,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,DVCBBA,1536,7.768880208333333,25.036458333333332,69.43098958333333,102.236328125,217.52864583333334,2788.875,4056.28125,7062.684895833333,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,P,1536,7.768880208333333,25.036458333333332,78.26432291666667,111.06966145833333,217.52864583333334,2788.875,4560.625,7567.028645833333,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,SCBBA,1536,3.455078125,4.0,19.421875,26.876953125,96.7421875,432.0,1178.53125,1707.2734375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,B1m,1024,100.0,30.0,248.935546875,378.935546875,2800.0,14760.0,62731.7578125,80291.7578125,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,B4,1024,184.296875,1100.5078125,792.71875,2077.5234375,5160.3125,365368.59375,190526.859375,561055.765625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,B6,1024,229.501953125,1340.712890625,0.0,1570.21484375,6426.0546875,659630.7421875,0.0,666056.796875,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,DVCBBA,1024,178.57421875,1052.138671875,816.546875,2047.259765625,5000.078125,517652.2265625,196685.9765625,719338.28125,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,P,1024,216.2109375,1271.513671875,932.73046875,2420.455078125,6053.90625,625584.7265625,223720.1015625,855358.734375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,battlefield_structure,SCBBA,1024,83.203125,30.0,270.322265625,383.525390625,2329.6875,14760.0,68121.2109375,85210.8984375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,reachability,B6,576,228.11631944444446,1311.9270833333333,0.0,1540.0434027777778,6387.256944444444,645468.125,0.0,651855.3819444445,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,reachability,DVCBBA,576,200.27777777777777,1169.3229166666667,719.7951388888889,2089.3958333333335,5607.777777777777,575306.875,173638.20833333334,754552.8611111111,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,reachability,P,576,222.03993055555554,1292.5520833333333,792.6423611111111,2307.234375,6217.118055555556,635935.625,190625.29166666666,832778.0347222222,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
battlefield_sensitivity,reachability,SCBBA,576,90.52083333333333,30.0,235.26041666666666,355.78125,2534.5833333333335,14760.0,59285.625,76580.20833333333,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
