suite,scope,level,contrast,scenario_count,seed_block_count,seed_block_mean,episode_median,bootstrap_ci_low,bootstrap_ci_high,win,tie,loss,bootstrap_unit
battlefield_structure,condition,value_correlated/D00,P-DVCBBA,64,64,0.011905535168682755,0.0,0.0010146921641787674,0.027106808371216068,12,46,6,shared seed block
battlefield_structure,condition,value_correlated/D20,P-DVCBBA,64,64,0.009215103819825203,0.0,0.0013162698971495705,0.019886027289516415,14,41,9,shared seed block
battlefield_structure,condition,value_correlated/D40,P-DVCBBA,64,64,0.03635085597285376,0.0,0.017801832388563164,0.05730216469858817,20,40,4,shared seed block
battlefield_structure,condition,value_correlated/D60,P-DVCBBA,64,64,0.015156044752441013,0.0,0.005032090939720766,0.02623211376996478,22,28,14,shared seed block
battlefield_structure,condition,clustered/D00,P-B6,64,64,0.07869400738379381,0.07957924547717528,0.053623323637103315,0.10405189186198352,53,0,11,shared seed block
battlefield_structure,condition,clustered/D20,P-B6,64,64,0.02303849407913334,0.020495863447092554,0.0072192812504492014,0.039114565829548135,42,0,22,shared seed block
battlefield_structure,condition,clustered/D40,P-B6,64,64,0.010584045624433908,0.007778645538277715,-0.001620404946781325,0.022402322864417113,40,0,24,shared seed block
battlefield_structure,condition,clustered/D60,P-B6,64,64,0.002155546744789114,0.005558602911889759,-0.004437422369247568,0.008564608307774857,34,0,30,shared seed block
battlefield_structure,condition,mixed/D00,P-B6,64,64,0.06602321548250174,0.0622911711403957,0.04597959721211206,0.08604136565447894,50,0,14,shared seed block
battlefield_structure,condition,mixed/D20,P-B6,64,64,0.0046538779838417605,0.009010657734206964,-0.011435521111299217,0.020008729129671533,36,0,28,shared seed block
battlefield_structure,condition,mixed/D40,P-B6,64,64,0.0007873283861857476,0.005125478071879193,-0.009305449564686648,0.01037610454040836,41,1,22,shared seed block
battlefield_structure,condition,mixed/D60,P-B6,64,64,-0.005370004550139929,0.006040109290152774,-0.015554775369025556,0.004717348332528433,36,0,28,shared seed block
battlefield_structure,condition,uniform/D00,P-B6,64,64,0.06605185324229339,0.05565063614137511,0.043411510490932385,0.08904193884914265,48,0,16,shared seed block
battlefield_structure,condition,uniform/D20,P-B6,64,64,0.022320834590952084,0.01591507161462151,0.009524906826884397,0.03523929401172105,40,0,24,shared seed block
battlefield_structure,condition,uniform/D40,P-B6,64,64,0.007447361611490448,0.003952456845591347,-0.0009174552495361636,0.015656149564417257,39,1,24,shared seed block
battlefield_structure,condition,uniform/D60,P-B6,64,64,0.006682165075460373,0.016955801392680665,-0.00357990688785725,0.016716065299596208,43,0,21,shared seed block
battlefield_structure,condition,value_correlated/D00,P-B6,64,64,0.04947120469980634,0.03983849191634595,0.031256948337190865,0.06794036768235291,45,0,19,shared seed block
battlefield_structure,condition,value_correlated/D20,P-B6,64,64,0.041595699493507464,0.042299823421335564,0.023963523583041903,0.05976557755330958,43,0,21,shared seed block
battlefield_structure,condition,value_correlated/D40,P-B6,64,64,0.016319136819625393,0.018345914807327057,0.0050092116395954135,0.027818932961499572,44,0,20,shared seed block
battlefield_structure,condition,value_correlated/D60,P-B6,64,64,-0.005177420478530761,-0.003888451636567855,-0.012702978955332568,0.002010401150027527,27,0,37,shared seed block
battlefield_structure,condition,clustered/D00,P-B4,64,64,-0.004515703808300891,-0.011859454404786876,-0.014126591797178815,0.005260982087383324,25,0,39,shared seed block
battlefield_structure,condition,clustered/D20,P-B4,64,64,0.00642383421227853,0.003443643608233543,-0.0049474741748177925,0.01833522214339489,34,0,30,shared seed block
battlefield_structure,condition,clustered/D40,P-B4,64,64,-0.004934328442922513,-0.008031271018503126,-0.014419648915076863,0.004802956081685659,25,0,39,shared seed block
battlefield_structure,condition,clustered/D60,P-B4,64,64,0.02592565198692155,0.025239800120572337,0.017476763343784125,0.03416407881752546,50,0,14,shared seed block
battlefield_structure,condition,mixed/D00,P-B4,64,64,-0.001648700435477012,-0.002875477862193554,-0.011403352701820602,0.008454088328228969,30,0,34,shared seed block
battlefield_structure,condition,mixed/D20,P-B4,64,64,0.0031104616132929573,-0.0039102612422618754,-0.010391721469301465,0.016684001299199617,28,0,36,shared seed block
battlefield_structure,condition,mixed/D40,P-B4,64,64,0.0013955496797392148,-0.0021759804980773095,-0.008495155399657612,0.011416264599390994,31,0,33,shared seed block
battlefield_structure,condition,mixed/D60,P-B4,64,64,0.02322534876480232,0.025361123528917767,0.012645195910759393,0.03332191559223777,47,0,17,shared seed block
battlefield_structure,condition,uniform/D00,P-B4,64,64,0.004904022693871678,0.005954953560032478,-0.003406600677368816,0.013614917388570964,34,0,30,shared seed block
