scenario_id,cell_id,p_bda_count,bda_group,delta_normalized_utility,delta_destroyed_value,delta_service_cost,delta_distance_cost,delta_ammo_cost,delta_realized_utility,delta_invalid_attack,delta_initial_wreck_attack,utility_identity_residual,ecdf
D2-N2-M3-Rtight-S1157,N2-M3-Rtight,1,1,-0.0038212919878660156,0.0,0.878897157209173,0.0,0.0,-0.878897157209181,0,0,7.993605777301127e-15,0.470947265625
D2-N3-M3-Rloose-S1147,N3-M3-Rloose,1,1,-0.003820555262195602,0.0,0.878727710304986,0.0,0.0,-0.878727710304986,0,0,0.0,0.47119140625
D2-N2-M3-Rtight-S1236,N2-M3-Rtight,1,1,-0.003819861831412086,0.0,0.878568221224791,0.0,0.0,-0.8785682212247821,0,0,-8.881784197001252e-15,0.471435546875
D2-N3-M3-Rtight-S1485,N3-M3-Rtight,1,1,-0.003816887116893812,0.0,0.8778840368855771,0.0,0.0,-0.8778840368855771,0,0,0.0,0.4716796875
D2-N2-M3-Rtight-S1493,N2-M3-Rtight,1,1,-0.003809315355465248,0.0,0.8761425317570115,0.0,0.0,-0.8761425317570115,0,0,0.0,0.471923828125
D2-N3-M3-Rtight-S1013,N3-M3-Rtight,1,1,-0.0038083068158436748,0.0,0.8759105676440466,0.0,0.0,-0.8759105676440466,0,0,0.0,0.47216796875
D2-N2-M3-Rtight-S1124,N2-M3-Rtight,1,1,-0.0038078509507363384,0.0,0.8758057186693584,0.0,0.0,-0.8758057186693584,0,0,0.0,0.472412109375
D2-N3-M5-Rloose-S1035,N3-M5-Rloose,2,2+,-0.0037990450517007,0.9036364596176014,2.0053595246108102,0.0,0.0,-1.1017230649932088,0,0,0.0,0.47265625
D2-N2-M3-Rtight-S1189,N2-M3-Rtight,1,1,-0.003796486307498667,0.0,0.8731918507246919,0.0,0.0,-0.8731918507246927,0,0,8.881784197001252e-16,0.472900390625
D2-N3-M3-Rloose-S1115,N3-M3-Rloose,1,1,-0.0037958253444296264,0.0,0.8730398292188148,0.0,0.0,-0.8730398292188113,0,0,-3.552713678800501e-15,0.47314453125
D2-N3-M3-Rtight-S1361,N3-M3-Rtight,1,1,-0.0037945797199398917,0.0,0.8727533355861734,0.0,0.0,-0.8727533355861734,0,0,0.0,0.473388671875
D2-N2-M3-Rtight-S1009,N2-M3-Rtight,1,1,-0.0037942992015688737,0.0,0.8726888163608315,0.0,0.0,-0.8726888163608351,0,0,3.552713678800501e-15,0.4736328125
D2-N3-M3-Rtight-S1200,N3-M3-Rtight,1,1,-0.0037941985089276486,0.0,0.8726656570533553,0.0,0.0,-0.8726656570533606,0,0,5.329070518200751e-15,0.473876953125
D2-N3-M3-Rloose-S1251,N3-M3-Rloose,1,1,-0.0037932914705230414,0.0,0.872457038220297,0.0,0.0,-0.8724570382203041,0,0,7.105427357601002e-15,0.47412109375
D2-N2-M3-Rloose-S1139,N2-M3-Rloose,1,1,-0.0037932565943499252,0.0,0.8724490167004895,0.0,0.0,-0.8724490167004859,0,0,-3.552713678800501e-15,0.474365234375
D2-N3-M3-Rtight-S1285,N3-M3-Rtight,1,1,-0.0037887614664914027,0.0,0.8714151372930221,0.0,0.0,-0.8714151372930221,0,0,0.0,0.474609375
